,turns,chutes_hit,ladders_hit
397,33,4,4
398,61,8,3
399,26,3,3
400,60,10,6
401,37,4,5
402,26,3,4
403,30,4,4
404,15,0,2
405,14,1,2
406,25,2,2
407,26,3,3
408,24,0,1
409,53,6,5
410,24,1,2
411,117,19,7
412,16,1,3
413,15,0,2
414,13,0,2
415,50,8,3
416,47,6,4
417,66,9,5
418,22,2,2
419,27,2,1
420,25,3,3
421,26,2,2
422,26,1,1
423,22,2,1
424,12,1,4
425,10,1,3
426,53,5,2
427,11,0,2
428,11,1,3
429,23,2,2
430,61,9,4
431,31,2,1
432,27,4,3
433,9,0,4
434,66,11,9
435,15,0,3
436,11,0,2
437,29,3,3
438,53,6,1
439,38,4,3
440,33,3,5
441,8,0,3
442,42,5,3
443,54,8,8
444,57,7,8
445,18,0,2
446,136,21,13
447,63,10,6
448,25,4,2
449,44,6,1
450,77,9,3
451,95,14,7
452,30,3,5
453,13,1,2
454,50,8,5
455,23,0,0
456,34,3,1
457,21,2,2
458,16,2,3
459,12,0,3
460,27,0,0
461,45,5,2
462,19,1,2
463,18,2,4
464,9,1,4
465,26,1,4
466,28,4,3
467,28,3,2
468,61,7,2
469,17,1,1
470,39,3,2
471,33,2,1
472,19,2,3
473,18,2,3
474,93,15,8
475,33,2,2
476,26,2,2
477,53,8,6
478,19,2,2
479,58,7,4
480,49,4,2
481,53,7,6
482,11,0,1
483,16,3,2
484,64,8,4
485,50,4,4
486,63,9,6
487,15,0,3
488,28,3,4
489,37,5,4
490,70,7,4
491,70,10,8
492,21,3,2
493,62,8,5
494,34,4,5
495,20,2,2
496,12,1,3
497,17,1,2
498,30,1,0
499,48,5,3
500,37,6,7
501,39,6,2
502,27,3,4
503,30,4,4
504,49,6,2
505,21,2,2
506,23,3,2
507,64,8,9
508,39,2,3
509,33,3,6
510,36,2,2
511,57,7,3
512,23,0,1
513,24,3,4
514,16,1,3
515,68,10,4
516,39,4,3
517,33,4,2
518,47,5,4
519,46,9,6
520,39,3,5
521,17,1,4
522,43,3,4
523,13,1,3
524,12,0,4
525,18,2,4
526,38,5,3
527,37,4,5
528,32,1,3
529,37,4,4
530,38,3,4
531,11,0,1
532,34,5,4
533,47,6,4
534,33,5,4
535,55,7,2
536,42,4,4
537,25,2,2
538,64,8,6
539,10,1,2
540,22,2,2
541,119,19,4
542,30,2,3
543,35,4,3
544,12,0,1
545,31,3,4
546,20,1,1
547,39,5,3
548,19,0,2
549,17,3,2
550,34,2,1
551,13,1,3
552,83,10,6
553,117,15,7
554,15,1,3
555,75,9,8
556,29,2,3
557,18,1,3
558,17,2,3
559,99,15,6
560,32,5,4
561,65,5,3
562,55,8,5
563,39,5,3
564,43,2,0
565,45,5,2
566,51,8,5
567,78,9,3
568,24,2,2
569,13,1,2
570,34,4,2
571,13,1,2
572,33,4,2
573,30,4,3
574,33,4,3
575,34,5,3
576,96,15,7
577,35,5,3
578,13,0,2
579,49,4,0
580,39,2,3
581,34,1,1
582,31,3,3
583,28,2,1
584,18,0,2
585,29,2,4
586,34,4,1
587,35,3,2
588,18,2,3
589,33,3,1
590,32,1,1
591,28,3,1
592,121,14,4
593,64,5,4
594,16,2,3
595,36,3,2
596,32,2,1
597,99,13,7
598,45,6,3
599,11,0,2
600,8,0,3
601,18,3,4
602,32,1,1
603,29,4,5
604,17,1,4
605,32,2,3
606,52,6,5
607,39,3,1
608,51,4,5
609,18,1,1
610,19,0,1
611,28,4,3
612,49,5,0
613,95,13,8
614,10,0,1
615,20,2,4
616,125,21,5
617,68,8,7
618,41,5,3
619,19,1,2
620,38,5,2
621,40,5,3
622,34,3,2
623,16,1,2
624,50,6,6
625,15,1,5
626,48,5,2
627,33,6,4
628,24,2,1
629,113,17,7
630,15,0,2
631,117,16,6
632,9,1,3
633,24,2,1
634,21,1,2
635,63,8,3
636,22,2,4
637,64,11,5
638,14,3,5
639,33,5,4
640,17,0,3
641,11,0,2
642,24,4,3
643,63,7,4
644,21,2,2
645,22,2,3
646,35,3,0
647,50,6,2
648,48,5,1
649,68,9,3
650,60,9,8
651,29,3,5
652,20,2,3
653,35,6,3
654,26,4,3
655,67,11,3
656,33,4,2
657,15,0,1
658,16,0,3
659,68,9,6
660,25,2,3
661,46,4,5
662,42,4,1
663,28,4,2
664,31,3,3
665,41,5,1
666,22,1,1
667,71,11,7
668,36,4,2
669,16,1,4
670,51,8,5
671,27,4,3
672,20,3,3
673,110,16,5
674,20,1,3
675,14,0,1
676,46,6,1
