,turns
2994,15
2995,20
2996,30
2997,13
2998,9
2999,10
3000,12
3001,21
3002,37
3003,12
3004,8
3005,18
3006,24
3007,15
3008,21
3009,22
3010,13
3011,16
3012,19
3013,12
3014,12
3015,19
3016,23
3017,14
3018,32
3019,14
3020,17
3021,16
3022,20
3023,8
3024,16
3025,11
3026,33
3027,10
3028,14
3029,14
3030,17
3031,18
3032,23
3033,17
3034,19
3035,13
3036,13
3037,21
3038,12
3039,22
3040,9
3041,18
3042,28
3043,23
3044,19
3045,10
3046,13
3047,21
3048,23
3049,23
3050,8
3051,14
3052,29
3053,18
3054,22
3055,20
3056,9
3057,18
3058,28
3059,16
3060,13
3061,45
3062,25
3063,23
3064,26
3065,16
3066,14
3067,11
3068,17
3069,11
3070,25
3071,15
3072,14
3073,18
3074,28
3075,24
3076,16
3077,11
3078,21
3079,17
3080,18
3081,21
3082,25
3083,11
3084,15
3085,12
3086,28
3087,19
3088,47
3089,28
3090,19
3091,12
3092,15
3093,12
3094,16
3095,16
3096,24
3097,30
3098,18
3099,20
3100,16
3101,20
3102,26
3103,17
3104,17
3105,14
3106,19
3107,19
3108,19
3109,17
3110,13
3111,12
3112,13
3113,18
3114,12
3115,20
3116,18
3117,24
3118,21
3119,9
3120,27
3121,13
3122,16
3123,27
3124,19
3125,13
3126,17
3127,16
3128,12
3129,19
3130,25
3131,18
3132,15
3133,16
3134,28
3135,25
3136,14
3137,13
3138,15
3139,27
3140,16
3141,17
3142,9
3143,7
3144,25
3145,13
3146,15
3147,23
3148,23
3149,8
3150,8
3151,12
3152,9
3153,19
3154,18
3155,19
3156,21
3157,18
3158,21
3159,15
3160,13
3161,22
3162,14
3163,29
3164,12
3165,21
3166,11
3167,29
3168,11
3169,27
3170,15
3171,19
3172,9
3173,16
3174,21
3175,18
3176,10
3177,18
3178,14
3179,39
3180,22
3181,13
3182,10
3183,12
3184,16
3185,19
3186,31
3187,9
3188,14
3189,16
3190,9
3191,11
3192,18
3193,15
3194,11
3195,15
3196,11
3197,12
3198,9
3199,15
3200,21
3201,22
3202,16
3203,21
3204,19
3205,12
3206,16
3207,16
3208,19
3209,9
3210,18
3211,13
3212,13
3213,28
3214,10
3215,11
3216,28
3217,15
3218,23
3219,22
3220,21
3221,12
3222,24
3223,22
3224,11
3225,25
3226,21
3227,18
3228,19
3229,16
3230,11
3231,12
3232,9
3233,17
3234,22
3235,9
3236,19
3237,11
3238,15
3239,26
3240,14
3241,10
3242,15
3243,12
3244,20
3245,11
3246,15
3247,9
3248,21
3249,16
3250,10
3251,11
3252,18
3253,10
3254,19
3255,8
3256,14
3257,12
3258,17
3259,11
3260,11
3261,12
3262,14
3263,15
3264,14
3265,24
3266,19
3267,18
3268,12
3269,15
3270,15
3271,21
3272,20
3273,9
3274,30
3275,11
3276,28
3277,15
3278,11
3279,17
3280,20
3281,24
3282,10
3283,20
3284,12
3285,9
3286,30
3287,14
3288,13
3289,16
3290,19
3291,21
3292,19
3293,14
3294,18
3295,26
3296,13
3297,21
3298,17
3299,19
3300,16
3301,17
3302,9
3303,21
3304,9
3305,22
3306,14
3307,16
3308,26
3309,11
3310,11
3311,17
3312,18
3313,16
3314,13
3315,13
3316,16
3317,16
3318,17
3319,9
3320,20
3321,12
3322,15
3323,12
3324,16
3325,12
3326,11
3327,22
3328,11
3329,20
3330,21
3331,15
3332,19
3333,14
3334,11
3335,31
3336,13
3337,22
3338,30
3339,12
3340,16
3341,11
3342,27
3343,20
3344,19
3345,31
3346,16
3347,22
3348,30
3349,15
3350,11
3351,10
3352,13
3353,9
3354,13
3355,45
3356,22
3357,8
3358,9
3359,11
3360,16
3361,20
3362,23
3363,19
3364,22
3365,15
3366,8
3367,16
3368,15
3369,13
3370,14
3371,27
3372,13
3373,16
3374,8
3375,10
3376,20
3377,23
3378,19
3379,25
3380,16
3381,18
3382,14
3383,14
3384,18
3385,28
3386,16
3387,13
3388,11
3389,10
3390,17
3391,13
3392,21
3393,16
3394,9
3395,16
3396,16
3397,9
3398,23
3399,16
3400,17
3401,24
3402,16
3403,32
3404,13
3405,14
3406,40
3407,14
3408,9
3409,18
3410,18
3411,18
3412,18
3413,14
3414,12
3415,28
3416,8
3417,25
3418,16
3419,16
3420,29
3421,17
3422,11
3423,13
3424,16
3425,18
3426,45
3427,18
3428,11
3429,12
3430,22
3431,9
3432,19
3433,15
3434,28
3435,23
3436,13
3437,15
3438,22
3439,24
3440,13
3441,18
3442,17
3443,25
3444,8
3445,35
3446,22
3447,12
3448,24
3449,10
3450,17
3451,14
3452,14
3453,24
3454,13
3455,8
3456,16
3457,19
3458,9
3459,25
3460,9
3461,17
3462,14
3463,15
3464,13
3465,20
3466,17
3467,9
3468,12
3469,21
3470,18
3471,16
3472,11
3473,12
3474,21
3475,8
3476,10
3477,22
3478,12
3479,14
3480,20
3481,37
3482,20
3483,20
3484,12
3485,10
3486,44
3487,10
3488,19
3489,22
3490,21
3491,11
3492,24
3493,12
3494,12
3495,11
3496,17
3497,18
3498,12
3499,23
3500,20
3501,13
3502,17
3503,24
3504,21
3505,11
3506,37
3507,13
3508,29
3509,12
3510,18
3511,13
3512,10
3513,20
3514,30
3515,12
3516,20
3517,13
3518,14
3519,25
3520,8
3521,12
3522,22
3523,10
3524,12
3525,25
3526,37
3527,15
3528,19
3529,19
3530,12
3531,13
3532,20
3533,17
3534,13
3535,14
3536,19
3537,24
3538,16
3539,12
3540,9
3541,23
3542,30
3543,16
3544,15
3545,17
3546,15
3547,21
3548,19
3549,31
3550,57
3551,16
3552,34
3553,13
3554,22
3555,30
3556,26
3557,9
3558,29
3559,16
3560,14
3561,33
3562,17
3563,38
3564,16
3565,18
3566,13
3567,26
3568,13
3569,26
3570,14
3571,18
3572,35
3573,21
3574,28
3575,13
3576,16
3577,24
3578,24
3579,16
3580,13
3581,24
3582,12
3583,12
3584,10
3585,13
3586,19
3587,17
3588,9
3589,15
3590,22
3591,25
3592,9
3593,20
3594,21
3595,14
3596,19
3597,14
3598,20
3599,31
3600,24
3601,27
3602,19
3603,21
3604,19
3605,18
3606,17
3607,34
3608,13
3609,11
3610,33
3611,18
3612,13
3613,19
3614,27
3615,20
3616,14
3617,15
3618,21
3619,36
3620,29
3621,12
3622,24
3623,16
3624,30
3625,15
3626,11
3627,10
3628,44
3629,18
3630,21
3631,14
3632,24
3633,15
3634,18
3635,14
3636,32
3637,28
3638,14
3639,14
3640,12
3641,35
3642,10
3643,13
3644,15
3645,24
3646,14
3647,18
3648,24
3649,13
3650,8
3651,9
3652,19
3653,16
3654,44
3655,26
3656,16
3657,15
3658,17
3659,8
3660,13
3661,15
3662,15
3663,18
3664,17
3665,20
3666,15
3667,19
3668,16
3669,31
3670,19
3671,22
3672,15
3673,52
3674,16
3675,27
3676,33
3677,11
3678,17
3679,29
3680,13
3681,7
3682,18
3683,11
3684,13
3685,19
3686,8
3687,15
3688,11
3689,13
3690,26
3691,15
3692,22
3693,46
3694,27
3695,15
3696,11
3697,16
3698,17
3699,10
3700,16
3701,10
3702,10
3703,20
3704,13
3705,18
3706,12
3707,12
3708,27
3709,26
3710,10
3711,18
3712,19
3713,12
3714,15
3715,18
3716,14
3717,17
3718,9
3719,10
3720,15
3721,12
3722,24
3723,10
3724,24
3725,29
3726,11
3727,21
3728,12
3729,19
3730,28
3731,14
3732,8
3733,16
3734,18
3735,18
3736,19
3737,12
3738,13
3739,33
3740,24
3741,15
3742,24
3743,16
3744,23
3745,14
3746,19
3747,15
3748,24
3749,21
3750,13
3751,21
3752,17
3753,19
3754,23
3755,19
3756,17
3757,14
3758,24
3759,20
3760,29
3761,15
3762,11
3763,19
3764,20
3765,13
3766,15
3767,11
3768,23
3769,20
3770,16
3771,10
3772,42
3773,19
3774,14
3775,17
3776,37
3777,14
3778,19
3779,20
3780,44
3781,11
3782,16
3783,11
3784,11
3785,18
3786,21
3787,23
3788,23
3789,21
3790,17
3791,46
3792,20
3793,10
3794,34
3795,28
3796,19
3797,31
3798,16
3799,23
3800,11
3801,39
3802,18
3803,20
3804,10
3805,30
3806,26
3807,22
3808,9
3809,16
3810,19
3811,12
3812,17
3813,15
3814,13
3815,11
3816,16
3817,24
3818,53
3819,15
3820,19
3821,23
3822,15
3823,12
3824,15
3825,12
3826,16
3827,15
3828,20
3829,15
3830,17
3831,28
3832,15
3833,20
3834,15
3835,11
3836,13
3837,23
3838,15
3839,17
3840,19
3841,13
3842,8
3843,14
3844,19
3845,13
3846,12
3847,9
3848,20
3849,11
3850,14
3851,16
3852,30
3853,29
3854,14
3855,23
3856,13
3857,26
3858,18
3859,17
3860,21
3861,14
3862,14
3863,16
3864,19
3865,16
3866,16
3867,16
3868,8
3869,12
3870,12
3871,10
3872,11
3873,19
3874,11
3875,13
3876,9
3877,16
3878,16
3879,9
3880,23
3881,33
3882,8
3883,21
3884,16
3885,18
3886,16
3887,26
3888,29
3889,27
3890,23
3891,23
3892,20
3893,18
3894,20
3895,13
3896,12
3897,16
3898,14
3899,13
3900,27
3901,12
3902,8
3903,13
3904,15
3905,14
3906,10
3907,7
3908,19
3909,21
3910,11
3911,12
3912,12
3913,15
3914,9
3915,19
3916,20
3917,15
3918,20
3919,10
3920,14
3921,18
3922,13
3923,13
3924,14
3925,24
3926,14
3927,14
3928,32
3929,7
3930,22
3931,14
3932,14
3933,10
3934,10
3935,19
3936,7
3937,12
3938,16
3939,18
3940,14
3941,18
3942,16
3943,15
3944,11
3945,12
3946,12
3947,30
3948,19
3949,19
3950,24
3951,17
3952,17
3953,19
3954,13
3955,15
3956,12
3957,10
3958,23
3959,7
3960,12
3961,11
3962,15
3963,12
3964,28
3965,15
3966,44
3967,30
3968,10
3969,14
3970,11
3971,16
3972,18
3973,19
3974,21
3975,17
3976,16
3977,15
3978,20
3979,15
3980,11
3981,12
3982,18
3983,16
3984,18
3985,15
3986,16
3987,20
3988,13
3989,15
3990,42
3991,17
3992,16
3993,9
3994,10
3995,14
3996,19
3997,13
3998,13
3999,14
4000,27
4001,12
4002,14
4003,20
4004,17
4005,17
4006,29
4007,11
4008,15
4009,13
4010,26
4011,10
4012,9
4013,19
4014,32
4015,17
4016,11
4017,24
4018,45
4019,8
4020,12
4021,14
4022,22
4023,18
4024,28
4025,18
4026,12
4027,28
4028,12
4029,15
4030,14
4031,14
4032,22
4033,10
4034,19
4035,18
4036,12
4037,12
4038,20
4039,20
4040,9
4041,17
4042,15
4043,32
4044,10
4045,14
4046,8
4047,24
4048,18
4049,17
4050,30
4051,30
4052,12
4053,20
4054,14
4055,8
4056,10
4057,14
4058,15
4059,23
4060,16
4061,13
4062,9
4063,37
4064,18
4065,15
4066,22
4067,18
4068,23
4069,18
4070,20
4071,21
4072,24
4073,10
4074,7
4075,31
4076,18
4077,13
4078,19
4079,10
4080,14
4081,12
4082,13
4083,17
4084,25
4085,33
4086,19
4087,13
4088,12
4089,28
4090,18
4091,17
4092,15
4093,13
4094,9
4095,17
4096,21
4097,9
4098,10
4099,14
4100,11
4101,13
4102,23
4103,19
4104,19
4105,25
4106,26
4107,13
4108,35
4109,16
4110,24
4111,11
4112,19
4113,32
4114,17
4115,31
4116,15
4117,12
4118,18
4119,15
4120,23
4121,19
4122,18
4123,17
4124,16
4125,11
4126,12
4127,9
4128,16
4129,14
4130,31
4131,12
4132,14
4133,40
4134,20
4135,12
4136,10
4137,26
4138,15
4139,25
4140,14
4141,11
4142,18
4143,9
4144,29
4145,20
4146,14
4147,14
4148,34
4149,16
4150,18
4151,13
4152,10
4153,16
4154,10
4155,9
4156,11
4157,27
4158,9
4159,13
4160,19
4161,21
4162,20
4163,15
4164,21
4165,23
4166,33
4167,29
4168,13
4169,27
4170,23
4171,21
4172,13
4173,16
4174,15
4175,14
4176,23
4177,7
4178,15
4179,9
4180,11
4181,37
4182,24
4183,8
4184,12
4185,13
4186,17
4187,11
4188,15
4189,26
4190,9
4191,12
4192,13
4193,22
4194,19
4195,12
4196,10
4197,25
4198,52
4199,42
4200,12
4201,23
4202,23
4203,11
4204,13
4205,17
4206,23
4207,17
4208,15
4209,14
4210,21
4211,22
4212,33
4213,15
4214,25
4215,13
4216,21
4217,12
4218,33
4219,15
4220,15
4221,12
4222,12
4223,23
4224,14
4225,9
4226,32
4227,15
4228,19
4229,17
4230,22
4231,14
4232,11
4233,16
4234,11
4235,8
4236,12
4237,27
4238,20
4239,15
4240,14
4241,21
4242,12
4243,19
4244,15
4245,15
4246,13
4247,23
4248,17
4249,14
4250,30
4251,14
4252,12
4253,28
4254,13
4255,20
4256,11
4257,18
4258,43
4259,10
4260,26
4261,14
4262,16
4263,8
4264,18
4265,20
4266,8
4267,14
4268,22
4269,17
4270,17
4271,11
4272,8
4273,28
4274,12
4275,15
4276,17
4277,16
4278,21
4279,16
4280,10
4281,11
4282,21
4283,20
4284,26
4285,10
4286,12
4287,19
4288,44
4289,15
4290,18
4291,34
4292,8
4293,8
4294,7
4295,16
4296,15
4297,14
4298,12
4299,19
4300,23
4301,13
4302,37
4303,22
4304,16
4305,12
4306,18
4307,13
4308,11
4309,24
4310,18
4311,20
4312,24
4313,16
4314,17
4315,12
4316,28
4317,10
4318,16
4319,12
4320,16
4321,39
4322,28
4323,17
4324,18
4325,14
4326,31
4327,10
4328,23
4329,18
4330,23
4331,8
4332,12
4333,7
4334,15
4335,15
4336,17
4337,23
4338,11
4339,12
4340,19
4341,18
4342,18
4343,15
4344,12
4345,8
4346,22
4347,15
4348,18
4349,17
4350,29
4351,10
4352,23
4353,17
4354,22
4355,12
4356,20
4357,13
4358,16
4359,18
4360,13
4361,22
4362,27
4363,15
4364,19
4365,10
4366,28
4367,21
4368,23
4369,16
4370,12
4371,18
4372,14
4373,24
4374,15
4375,24
4376,16
4377,13
4378,25
4379,18
4380,22
4381,28
4382,15
4383,11
4384,14
4385,23
4386,17
4387,14
4388,20
4389,25
4390,9
4391,18
4392,15
4393,11
4394,17
4395,19
4396,12
4397,28
4398,19
4399,15
4400,14
4401,13
4402,10
4403,13
4404,20
4405,23
4406,15
4407,13
4408,17
4409,19
4410,13
4411,12
4412,24
4413,12
4414,18
4415,18
4416,14
4417,12
4418,13
4419,15
4420,17
4421,11
4422,12
4423,24
4424,15
4425,8
4426,18
4427,19
4428,18
4429,12
4430,18
4431,16
4432,23
4433,15
4434,28
4435,28
4436,20
4437,17
4438,10
4439,18
4440,15
4441,32
4442,17
4443,11
4444,30
4445,16
4446,30
4447,17
4448,40
4449,19
4450,18
4451,20
4452,16
4453,20
4454,25
4455,13
4456,14
4457,25
4458,16
4459,25
4460,12
4461,18
4462,12
4463,8
4464,19
4465,13
4466,21
4467,8
4468,8
4469,14
4470,17
4471,28
4472,21
4473,38
4474,14
4475,38
4476,24
4477,39
4478,15
4479,16
4480,16
4481,20
4482,16
4483,21
4484,28
4485,10
4486,24
4487,24
4488,17
4489,20
4490,14
4491,9
4492,14
4493,19
4494,16
4495,20
4496,7
4497,19
4498,17
4499,8
4500,13
4501,23
4502,18
4503,15
4504,20
4505,13
4506,24
4507,15
4508,38
4509,13
4510,21
4511,13
4512,13
4513,23
4514,24
4515,14
4516,16
4517,11
4518,14
4519,18
4520,17
4521,26
4522,34
4523,24
4524,9
4525,14
4526,12
4527,21
4528,23
4529,10
4530,11
4531,11
4532,14
4533,16
4534,10
4535,14
4536,27
4537,10
4538,14
4539,33
4540,22
4541,13
4542,26
4543,20
4544,15
4545,16
4546,22
4547,29
4548,16
4549,20
4550,16
4551,17
4552,21
4553,16
4554,14
4555,23
4556,20
4557,24
4558,32
4559,18
4560,15
4561,25
4562,8
4563,25
4564,14
4565,18
4566,9
4567,15
4568,17
4569,15
4570,19
4571,22
4572,12
4573,17
4574,12
4575,26
4576,19
4577,25
4578,14
4579,21
4580,21
4581,15
4582,31
4583,16
4584,15
4585,26
4586,10
4587,27
4588,17
4589,20
4590,12
4591,10
4592,10
4593,9
4594,37
4595,19
4596,17
4597,12
4598,13
4599,18
4600,11
4601,18
4602,22
4603,16
4604,12
4605,8
4606,12
4607,17
4608,11
4609,24
4610,37
4611,10
4612,14
4613,19
4614,21
4615,11
4616,26
4617,8
4618,11
4619,20
4620,30
4621,13
4622,24
4623,15
4624,27
4625,16
4626,14
4627,16
4628,12
4629,18
4630,30
4631,23
4632,15
4633,28
4634,19
4635,9
4636,11
4637,8
4638,23
4639,21
4640,28
4641,13
4642,13
4643,13
4644,17
4645,21
4646,28
4647,12
4648,20
4649,17
4650,13
4651,16
4652,19
4653,10
4654,20
4655,14
4656,17
4657,22
4658,21
4659,20
4660,16
4661,18
4662,24
4663,15
4664,25
4665,10
4666,22
4667,17
4668,7
4669,11
4670,23
4671,11
4672,15
4673,16
4674,16
4675,26
4676,17
4677,14
4678,17
4679,15
4680,14
4681,19
4682,21
4683,25
4684,10
4685,11
4686,11
4687,15
4688,24
4689,16
4690,15
4691,18
4692,19
4693,27
4694,26
4695,24
4696,18
4697,18
4698,9
4699,12
4700,16
4701,22
4702,19
4703,27
4704,36
4705,14
4706,9
4707,12
4708,10
4709,12
4710,13
4711,21
4712,17
4713,12
4714,18
4715,26
4716,9
4717,25
4718,8
4719,8
4720,33
4721,26
4722,9
4723,30
4724,13
4725,9
4726,22
4727,17
4728,24
4729,18
4730,22
4731,12
4732,19
4733,14
4734,24
4735,13
4736,29
4737,17
4738,31
4739,10
4740,12
4741,7
4742,15
4743,23
4744,18
4745,18
4746,24
4747,11
4748,21
4749,20
4750,35
4751,18
4752,13
4753,21
4754,16
4755,8
4756,15
4757,17
4758,22
4759,16
4760,8
4761,11
4762,25
4763,14
4764,7
4765,15
4766,31
4767,10
4768,12
4769,17
4770,16
4771,21
4772,26
4773,16
4774,13
4775,10
4776,14
4777,9
4778,12
4779,21
4780,17
4781,12
4782,12
4783,9
4784,18
4785,19
4786,25
4787,23
4788,9
4789,9
4790,12
4791,10
4792,21
4793,22
4794,12
4795,12
4796,15
4797,22
4798,11
4799,43
4800,37
4801,10
4802,10
4803,12
4804,8
4805,31
4806,12
4807,10
4808,18
4809,24
4810,12
4811,11
4812,11
4813,11
4814,20
4815,14
4816,17
4817,15
4818,44
4819,14
4820,9
4821,23
4822,14
4823,14
4824,9
4825,11
4826,11
4827,15
4828,17
4829,23
4830,12
4831,12
4832,14
4833,20
4834,13
4835,27
4836,38
4837,14
4838,26
4839,24
4840,27
4841,10
4842,25
4843,11
4844,13
4845,24
4846,13
4847,23
4848,19
4849,19
4850,23
4851,12
4852,34
4853,15
4854,10
4855,23
4856,23
4857,20
4858,11
4859,41
4860,34
4861,15
4862,11
4863,13
4864,22
4865,13
4866,13
4867,21
4868,7
4869,18
4870,9
4871,22
4872,22
4873,10
4874,10
4875,8
4876,10
4877,26
4878,47
4879,9
4880,9
4881,12
4882,10
4883,11
4884,34
4885,19
4886,17
4887,24
4888,30
4889,28
4890,9
4891,14
4892,12
4893,12
4894,11
4895,9
4896,8
4897,18
4898,37
4899,11
4900,8
4901,25
4902,17
4903,18
4904,23
4905,17
4906,18
4907,34
4908,18
4909,13
4910,17
4911,12
4912,9
4913,14
4914,15
4915,11
4916,19
4917,18
4918,15
4919,14
4920,18
4921,15
4922,9
4923,30
4924,13
4925,18
4926,19
4927,14
4928,10
4929,14
4930,14
4931,20
4932,12
4933,18
4934,10
4935,17
4936,32
4937,17
4938,8
4939,8
4940,13
4941,14
4942,17
4943,12
4944,17
4945,13
4946,23
4947,35
4948,32
4949,19
4950,18
4951,20
4952,14
4953,11
4954,19
4955,18
4956,21
4957,15
4958,13
4959,11
4960,21
4961,20
4962,15
4963,13
4964,18
4965,22
4966,7
4967,14
4968,15
4969,10
4970,20
4971,18
4972,17
4973,17
4974,16
4975,18
4976,20
4977,18
4978,11
4979,17
4980,31
4981,25
4982,13
4983,17
4984,20
4985,10
4986,21
4987,27
4988,14
4989,14
4990,14
4991,15
4992,29
4993,21
4994,12
4995,9
4996,17
4997,10
4998,26
4999,21
5000,17
5001,9
5002,15
5003,25
5004,20
5005,17
5006,18
5007,12
5008,8
5009,27
5010,24
5011,29
5012,14
5013,24
5014,18
5015,26
5016,19
5017,28
5018,21
5019,14
5020,8
5021,18
5022,16
5023,12
5024,10
5025,17
5026,17
5027,19
5028,18
5029,9
5030,29
5031,8
5032,12
5033,24
5034,11
5035,17
5036,18
5037,19
5038,25
5039,19
5040,11
5041,12
5042,16
5043,29
5044,18
5045,23
5046,11
5047,10
5048,12
5049,23
5050,10
5051,16
5052,43
5053,27
5054,10
5055,17
5056,13
5057,12
5058,13
5059,14
5060,18
5061,24
5062,19
5063,11
5064,30
5065,10
5066,17
5067,15
5068,18
5069,20
5070,27
5071,19
5072,30
5073,30
5074,12
5075,22
5076,15
5077,22
5078,24
5079,12
5080,17
5081,18
5082,29
5083,11
5084,17
5085,21
5086,12
5087,15
5088,18
5089,14
5090,14
5091,12
5092,23
5093,21
5094,17
5095,21
5096,12
5097,9
5098,16
5099,10
5100,10
5101,14
5102,18
5103,14
5104,20
5105,14
5106,20
5107,10
5108,21
5109,17
5110,20
5111,14
5112,15
5113,22
5114,24
5115,21
5116,10
5117,19
5118,13
5119,11
5120,23
5121,24
5122,34
5123,13
5124,12
5125,24
5126,18
5127,11
5128,17
5129,20
5130,12
5131,12
5132,18
5133,14
5134,21
5135,20
5136,16
5137,11
5138,25
5139,13
5140,18
5141,13
5142,8
5143,10
5144,9
5145,25
5146,14
5147,11
5148,22
5149,18
5150,18
5151,25
5152,10
5153,14
5154,30
5155,34
5156,17
5157,12
5158,14
5159,15
5160,24
5161,22
5162,17
5163,16
5164,13
5165,16
5166,9
5167,7
5168,12
5169,15
5170,26
5171,7
5172,16
5173,12
5174,15
5175,11
5176,14
5177,10
5178,13
5179,17
5180,36
5181,12
5182,25
5183,14
5184,9
5185,9
5186,21
5187,9
5188,16
5189,14
5190,21
5191,23
5192,12
5193,8
5194,13
5195,23
5196,21
5197,11
5198,15
5199,18
5200,29
5201,9
5202,15
5203,24
5204,23
5205,13
5206,11
5207,57
5208,25
5209,28
5210,10
5211,10
5212,31
5213,37
5214,9
5215,15
5216,16
5217,13
5218,21
5219,17
5220,11
5221,36
5222,14
5223,20
5224,18
5225,15
5226,14
5227,22
5228,10
5229,13
5230,8
5231,13
5232,20
5233,14
5234,20
5235,11
5236,18
5237,19
5238,8
5239,10
5240,22
5241,15
5242,18
5243,18
5244,23
5245,24
5246,14
5247,11
5248,12
5249,23
5250,20
5251,16
5252,13
5253,17
5254,13
5255,17
5256,16
5257,12
5258,23
5259,12
5260,14
5261,24
5262,21
5263,27
5264,34
5265,17
5266,13
5267,19
5268,7
5269,20
5270,12
5271,22
5272,19
5273,29
5274,8
5275,11
5276,11
5277,21
5278,11
5279,10
5280,14
5281,20
5282,23
5283,12
5284,14
5285,13
5286,9
5287,30
5288,12
5289,24
5290,27
5291,26
5292,14
5293,8
5294,25
5295,13
5296,16
5297,12
5298,24
5299,15
5300,9
5301,25
5302,12
5303,9
5304,17
5305,10
5306,20
5307,28
5308,9
5309,14
5310,13
5311,9
5312,18
5313,11
5314,18
5315,24
5316,11
5317,11
5318,30
5319,17
5320,14
5321,28
5322,10
5323,42
5324,14
5325,20
5326,21
5327,15
5328,14
5329,10
5330,14
5331,12
5332,32
5333,27
5334,27
5335,23
5336,15
5337,13
5338,7
5339,24
5340,20
5341,27
5342,10
5343,23
5344,12
5345,15
5346,22
5347,26
5348,21
5349,19
5350,11
5351,18
5352,23
5353,22
5354,13
5355,17
5356,21
5357,11
5358,12
5359,14
5360,21
5361,25
5362,19
5363,11
5364,9
5365,9
5366,18
5367,17
5368,14
5369,12
5370,18
5371,23
5372,10
5373,12
5374,18
5375,11
5376,20
5377,13
5378,20
5379,15
5380,26
5381,20
5382,20
5383,10
5384,24
5385,19
5386,22
5387,11
5388,13
5389,17
5390,20
5391,14
5392,10
5393,19
5394,20
5395,15
5396,19
5397,16
5398,12
5399,16
5400,21
5401,15
5402,16
5403,24
5404,15
5405,19
5406,19
5407,12
5408,9
5409,30
5410,13
5411,18
5412,17
5413,19
5414,17
5415,24
5416,43
5417,19
5418,8
5419,40
5420,18
5421,26
5422,32
5423,17
5424,18
5425,10
5426,24
5427,16
5428,15
5429,15
5430,10
5431,24
5432,8
5433,20
5434,21
5435,15
5436,7
5437,14
5438,17
5439,26
5440,9
5441,12
5442,22
5443,17
5444,14
5445,11
5446,20
5447,18
5448,14
5449,17
5450,10
5451,8
5452,10
5453,12
5454,12
5455,16
5456,38
5457,14
5458,8
5459,11
5460,19
5461,25
5462,27
5463,7
5464,25
5465,11
5466,10
5467,19
5468,12
5469,7
5470,25
5471,19
5472,20
5473,15
5474,13
5475,16
5476,24
5477,28
5478,12
5479,12
5480,15
5481,15
5482,25
5483,11
5484,22
5485,13
5486,23
5487,15
5488,12
5489,20
5490,10
5491,10
5492,16
5493,12
5494,21
5495,21
5496,29
5497,16
5498,11
5499,18
5500,26
5501,11
5502,24
5503,14
5504,22
5505,18
5506,19
5507,18
5508,19
5509,16
5510,19
5511,26
5512,17
5513,20
5514,15
5515,13
5516,24
5517,18
5518,17
5519,26
5520,23
5521,20
5522,23
5523,15
5524,19
5525,15
5526,25
5527,16
5528,22
5529,10
5530,12
5531,29
5532,13
5533,14
5534,14
5535,12
5536,15
5537,17
5538,19
5539,12
5540,12
5541,18
5542,17
5543,12
5544,30
5545,19
5546,15
5547,8
5548,12
5549,14
5550,13
5551,11
5552,11
5553,13
5554,16
5555,26
5556,13
5557,15
5558,10
5559,15
5560,14
5561,17
5562,17
5563,8
5564,16
5565,13
5566,17
5567,29
5568,15
5569,15
5570,20
5571,16
5572,21
5573,11
5574,10
5575,12
5576,9
5577,12
5578,22
5579,12
5580,29
5581,18
5582,10
5583,16
5584,13
5585,14
5586,15
5587,9
5588,14
5589,19
5590,19
5591,13
5592,14
5593,21
5594,19
5595,9
5596,15
5597,23
5598,17
5599,28
5600,22
5601,14
5602,15
5603,14
5604,16
5605,24
5606,24
5607,24
5608,35
5609,34
5610,9
5611,10
5612,13
5613,15
5614,16
5615,17
5616,13
5617,28
5618,19
5619,10
5620,15
5621,18
5622,21
5623,24
5624,27
5625,36
5626,15
5627,19
5628,16
5629,14
5630,9
5631,8
5632,11
5633,17
5634,19
5635,19
5636,26
5637,16
5638,7
5639,34
5640,15
5641,15
5642,13
5643,11
5644,26
5645,12
5646,19
5647,27
5648,18
5649,9
5650,14
5651,26
5652,15
5653,9
5654,26
5655,18
5656,23
5657,14
5658,14
5659,8
5660,21
5661,14
5662,22
5663,13
5664,13
5665,20
5666,38
5667,26
5668,8
5669,20
5670,10
5671,23
5672,25
5673,11
5674,28
5675,17
5676,13
5677,20
5678,13
5679,14
5680,10
5681,13
5682,23
5683,14
5684,14
5685,17
5686,14
5687,35
5688,25
5689,14
5690,10
5691,10
5692,17
5693,17
5694,12
5695,24
5696,19
5697,20
5698,15
5699,20
5700,30
5701,22
5702,21
5703,21
5704,20
5705,8
5706,10
5707,42
5708,15
5709,19
5710,21
5711,17
5712,14
5713,32
5714,13
5715,14
5716,19
5717,26
5718,18
5719,11
5720,17
5721,16
5722,9
5723,26
5724,12
5725,13
5726,12
5727,12
5728,10
5729,26
5730,14
5731,12
5732,8
5733,11
5734,8
5735,23
5736,11
5737,14
5738,19
5739,15
5740,26
5741,20
5742,12
5743,18
5744,13
5745,9
5746,13
5747,19
5748,11
5749,9
5750,11
5751,22
5752,13
5753,18
5754,12
5755,12
5756,14
5757,17
5758,23
5759,16
5760,17
5761,21
5762,9
5763,22
5764,34
5765,14
5766,14
5767,18
5768,21
5769,7
5770,12
5771,20
5772,21
5773,21
5774,12
5775,24
5776,8
5777,10
5778,18
5779,27
5780,18
5781,13
5782,15
5783,12
5784,19
5785,18
5786,11
5787,14
5788,20
5789,10
5790,10
5791,14
5792,16
