,turns
799,11
800,11
801,14
802,22
803,22
804,38
805,12
806,24
807,15
808,17
809,14
810,16
811,10
812,25
813,14
814,10
815,11
816,21
817,21
818,23
819,11
820,15
821,27
822,29
823,12
824,8
825,23
826,19
827,18
828,15
829,15
830,16
831,12
832,19
833,13
834,31
835,40
836,19
837,9
838,24
839,10
840,12
841,10
842,14
843,20
844,15
845,26
846,30
847,14
848,13
849,31
850,29
851,13
852,18
853,20
854,10
855,22
856,9
857,22
858,23
859,17
860,12
861,17
862,17
863,20
864,36
865,13
866,13
867,27
868,27
869,19
870,15
871,18
872,30
873,10
874,10
875,12
876,28
877,17
878,20
879,25
880,27
881,16
882,10
883,33
884,14
885,36
886,22
887,18
888,15
889,28
890,14
891,16
892,22
893,13
894,18
895,25
896,20
897,11
898,10
899,16
900,22
901,19
902,14
903,15
904,14
905,10
906,14
907,26
908,26
909,20
910,24
911,26
912,24
913,16
914,29
915,25
916,23
917,9
918,17
919,21
920,7
921,34
922,21
923,17
924,25
925,9
926,28
927,20
928,23
929,15
930,19
931,17
932,18
933,26
934,18
935,37
936,7
937,28
938,16
939,15
940,27
941,29
942,11
943,33
944,14
945,11
946,20
947,13
948,11
949,12
950,14
951,19
952,10
953,22
954,18
955,19
956,25
957,37
958,11
959,10
960,18
961,7
962,12
963,14
964,29
965,16
966,17
967,11
968,23
969,29
970,9
971,22
972,12
973,10
974,9
975,9
976,23
977,10
978,19
979,10
980,25
981,17
982,21
983,14
984,8
985,23
986,18
987,9
988,9
989,18
990,26
991,24
992,16
993,13
994,15
995,14
996,15
997,29
998,23
999,19
1000,11
1001,10
1002,13
1003,18
1004,23
1005,15
1006,13
1007,21
1008,13
1009,13
1010,11
1011,13
1012,20
1013,14
1014,16
1015,13
1016,22
1017,17
1018,20
1019,22
1020,16
1021,26
1022,19
1023,16
1024,25
1025,10
1026,10
1027,16
1028,18
1029,31
1030,11
1031,25
1032,11
1033,22
1034,46
1035,17
1036,19
1037,28
1038,9
1039,35
1040,23
1041,12
1042,24
1043,10
1044,24
1045,13
1046,16
1047,11
1048,15
1049,20
1050,20
1051,18
1052,15
1053,14
1054,31
1055,16
1056,10
1057,13
1058,12
1059,11
1060,23
1061,19
1062,33
1063,14
1064,20
1065,11
1066,12
1067,23
1068,22
1069,10
1070,21
1071,17
1072,15
1073,15
1074,16
1075,19
1076,17
1077,21
1078,16
1079,13
1080,13
1081,19
1082,9
1083,12
1084,14
1085,17
1086,14
1087,15
1088,12
1089,11
1090,18
1091,15
1092,13
1093,15
1094,20
1095,7
1096,18
1097,13
1098,19
1099,17
1100,15
1101,9
1102,14
1103,12
1104,13
1105,14
1106,18
1107,19
1108,11
1109,10
1110,12
1111,25
1112,18
1113,17
1114,32
1115,11
1116,28
1117,14
1118,14
1119,27
1120,19
1121,11
1122,9
1123,19
1124,18
1125,24
1126,14
1127,33
1128,21
1129,11
1130,21
1131,32
1132,16
1133,20
1134,20
1135,24
1136,12
1137,21
1138,13
1139,13
1140,15
1141,15
1142,8
1143,24
1144,18
1145,11
1146,11
1147,16
1148,8
1149,15
1150,10
1151,19
1152,10
1153,18
