,turns,player_position1,player_position2
398,14,99,43
399,14,29,99
400,20,25,99
401,12,22,99
402,20,85,99
403,9,58,99
404,23,33,99
405,18,99,88
406,13,65,99
407,17,99,29
408,30,99,11
409,13,73,99
410,22,25,99
411,16,66,99
412,27,67,99
413,46,99,10
414,15,99,96
415,8,37,99
416,8,99,36
417,19,84,99
418,16,23,99
419,35,90,99
420,12,36,99
421,27,99,45
422,20,99,26
423,21,90,99
424,38,37,99
425,18,52,99
426,23,99,72
427,30,62,99
428,10,99,25
429,11,99,59
430,41,36,99
431,34,33,99
432,27,64,99
433,14,99,51
434,16,17,99
435,29,99,88
436,16,99,80
437,12,31,99
438,15,99,98
439,24,11,99
440,11,99,29
441,36,49,99
442,37,99,30
443,9,11,99
444,25,99,52
445,32,67,99
446,19,68,99
447,15,99,52
448,18,91,99
449,33,53,99
450,17,99,77
451,39,99,29
452,19,33,99
453,16,45,99
454,12,80,99
455,19,99,80
456,39,39,99
457,46,99,99
458,23,99,23
459,18,99,43
460,10,80,99
461,29,99,77
462,17,99,72
463,15,43,99
464,30,99,45
465,34,74,99
466,35,99,32
467,34,49,99
468,20,24,99
469,12,16,99
470,49,99,37
471,48,49,99
472,16,83,99
473,23,99,31
474,26,99,60
475,37,99,90
476,39,99,95
477,20,99,49
478,32,99,34
479,34,29,99
480,54,99,41
481,29,74,99
482,41,99,58
483,12,99,80
484,32,77,99
485,19,59,99
486,33,99,90
487,33,29,99
488,19,99,77
489,13,99,49
490,25,90,99
491,22,99,93
492,22,77,99
493,24,52,99
494,30,38,99
495,39,25,99
496,17,23,99
497,10,99,49
498,16,18,99
499,14,99,10
500,23,99,88
501,24,99,45
502,14,22,99
503,16,99,37
504,32,59,99
505,26,99,52
506,11,77,99
507,17,99,41
508,13,99,83
509,17,78,99
510,14,39,99
511,17,22,99
512,36,59,99
513,15,99,43
514,23,83,99
515,16,29,99
516,21,99,32
517,45,36,99
518,16,45,99
519,56,93,99
520,13,99,31
521,11,99,23
522,18,99,81
523,13,99,54
524,16,99,83
525,49,75,99
526,9,84,99
527,26,99,29
528,27,99,81
529,39,99,45
530,21,18,99
531,14,99,41
532,16,99,62
533,14,99,41
534,32,25,99
535,16,53,99
536,15,99,51
537,24,47,99
538,15,99,43
539,47,26,99
540,33,99,51
541,13,99,47
542,20,99,83
543,14,99,43
544,20,96,99
545,21,95,99
546,33,33,99
547,22,44,99
548,17,91,99
549,17,95,99
550,27,99,5
551,24,73,99
552,21,99,23
553,17,43,99
554,18,25,99
555,17,10,99
556,18,47,99
557,10,58,99
558,20,99,66
559,14,88,99
560,23,44,99
561,8,54,99
562,10,99,95
563,14,99,59
564,16,99,96
565,39,99,69
566,11,37,99
567,12,99,38
568,15,99,5
569,17,99,32
570,20,99,65
571,7,99,73
572,15,69,99
573,37,18,99
574,10,99,28
575,12,23,99
576,31,99,17
577,17,99,91
578,21,28,99
579,14,99,80
580,13,99,90
581,25,99,99
582,33,5,99
583,26,30,99
584,23,99,28
585,13,99,31
586,14,99,30
587,12,66,99
588,33,99,83
589,44,99,83
590,20,99,38
591,33,99,90
592,21,99,80
593,11,90,99
594,31,99,64
595,13,99,77
596,27,87,99
597,36,99,73
598,26,99,37
599,33,39,99
600,13,99,52
601,17,42,99
602,29,77,99
603,18,99,89
604,13,99,78
605,10,76,99
606,56,41,99
607,18,99,23
608,19,99,7
609,13,93,99
610,14,99,47
611,26,44,99
612,13,99,28
613,8,32,99
614,47,45,99
615,22,99,23
616,17,99,66
617,21,99,91
618,18,99,41
619,18,6,99
620,33,45,99
621,12,58,99
622,41,99,83
623,14,99,66
624,13,59,99
625,17,44,99
626,18,99,24
627,29,32,99
628,33,99,41
629,10,12,99
630,35,28,99
631,32,37,99
632,31,74,99
633,35,99,47
634,17,99,72
635,10,18,99
636,21,30,99
637,39,99,99
638,12,90,99
639,20,58,99
640,25,10,99
641,21,76,99
642,30,39,99
643,39,28,99
644,17,99,60
645,36,99,84
646,36,25,99
647,15,99,57
648,25,90,99
649,16,99,24
650,7,99,53
651,36,45,99
652,18,96,99
653,25,99,91
654,27,99,18
655,23,99,81
656,17,99,72
657,20,99,67
658,12,99,68
659,37,99,41
660,25,57,99
661,14,72,99
662,16,99,10
663,16,23,99
664,19,83,99
665,11,99,49
666,16,99,47
667,29,99,41
668,17,43,99
669,36,99,65
670,27,47,99
671,17,99,34
672,18,99,10
673,30,84,99
674,17,99,72
675,19,17,99
676,32,39,99
677,16,33,99
678,31,99,42
679,14,76,99
680,13,87,99
681,21,39,99
682,22,49,99
683,25,99,9
684,26,52,99
685,18,99,32
686,24,99,30
687,18,45,99
688,16,11,99
689,72,90,99
690,41,99,37
691,20,99,44
692,20,47,99
693,15,99,26
694,12,41,99
695,18,99,31
696,23,99,45
697,30,99,43
698,19,99,88
699,35,93,99
700,21,99,91
701,29,99,57
702,14,83,99
703,23,41,99
704,54,14,99
705,17,99,89
706,31,31,99
707,17,99,54
708,30,99,34
709,15,62,99
710,14,47,99
711,9,39,99
712,17,65,99
713,12,42,99
714,52,99,66
715,28,99,95
716,18,99,14
717,34,99,84
718,15,99,71
719,13,26,99
720,24,99,87
721,12,99,56
722,23,75,99
723,41,99,40
724,25,11,99
725,18,18,99
726,16,83,99
727,27,42,99
728,33,88,99
729,11,99,13
730,30,23,99
731,15,99,71
732,27,72,99
733,25,99,29
734,14,53,99
735,42,53,99
736,27,68,99
737,15,34,99
738,46,99,59
739,32,99,91
740,8,99,34
741,35,99,69
742,36,99,90
743,9,43,99
744,13,29,99
745,70,22,99
746,43,41,99
747,27,99,91
748,15,99,83
749,10,99,33
750,27,99,51
751,26,23,99
752,24,99,88
753,22,99,85
754,38,74,99
755,20,10,99
756,18,38,99
757,22,84,99
758,20,99,69
759,15,47,99
760,10,99,18
761,29,99,14
762,29,32,99
763,11,99,12
764,54,34,99
765,22,57,99
766,26,40,99
767,17,99,84
768,93,95,99
769,26,99,51
770,26,34,99
771,14,65,99
772,20,99,71
773,57,41,99
774,38,99,45
775,19,91,99
776,29,99,74
777,14,34,99
778,52,99,74
779,14,91,99
780,34,99,43
781,37,90,99
782,8,99,22
783,20,99,68
784,45,11,99
